worker_id,worker_name,week_start_date,primary_zone,zone_flood_risk_score,zone_elevation_category,zone_drainage_quality,experience_months,week_number,month,is_northeast_monsoon_season,is_summer_heat_season,festival_week,w_actual,order_earnings,daily_bonus_total,weekly_target_bonus,login_guarantee_received,orders_completed,active_days,total_login_hours,peak_hour_login_days,order_rejection_rate,w_avg_4wk,w_avg_12wk,w_expected,income_vs_peer_ratio,risk_model_score,seasonal_loading_factor,rainfall_mm,max_daily_rainfall_mm,wind_speed_kmph,flood_alert_level,cyclone_warning_active,heatwave_declared,AQI_avg,stfi_event_confirmed,stfi_event_severity,rsmd_news_score,rsmd_news_source_count,google_maps_congestion_index,ndma_emergency_alert_active,rsmd_event_confirmed,rsmd_event_type,rsmd_event_severity,fraud_model_score,fraud_action,gps_spoofing_detected,behavioral_anomaly_flag,fraud_deduction_inr,policy_active,sum_insured,current_claim_loading_pct,claims_last_4wk,daily_zero_income_days,daily_event_active_days,daily_pre_event_rejection_spike,daily_income_trajectory_slope,daily_max_rainfall,daily_max_congestion,daily_max_rsmd_news_score,daily_max_rsmd_source_count,daily_ndma_alert_any_day,daily_peak_hour_days,daily_avg_fraud_score,daily_income_mon,daily_income_tue,daily_income_wed,daily_income_thu,daily_income_fri,daily_income_sat,daily_income_sun,daily_claim_signal_days,weekly_premium_inr,claim_triggered,claim_type,claim_amount_inr
T007,Kavitha N,2024-04-01,Anna Nagar,0.22,2,2,28,1,4,0,1,0,4115.69,2491.47,1299.22,325.0,0.0,25,7,35.2,7,0.066,4115.69,4115.69,3800.82,0.8231,0.1726,0.0,5.4,2.2,12.6,0,0,0,85,0,0,0.048,0,0.641,0,0,,0,0.1064,AUTO_APPROVE,0,0,0.0,1,6173.54,0.0,0,0,0,0.0,35.028,2.2,0.641,0.048,0,0,7,0.106,511.58,513.35,565.75,530.7,645.26,584.44,764.61,0,83.83,0,NONE,0.0
T007,Kavitha N,2024-04-08,Anna Nagar,0.22,2,2,28,2,4,0,1,0,4008.47,2413.74,1144.73,450.0,0.0,25,6,21.9,3,0.071,4062.08,4059.26,3682.5,0.8017,0.1471,0.0,1.8,1.0,12.4,0,0,0,98,0,0,0.048,0,0.639,0,0,,0,0.0909,AUTO_APPROVE,0,0,0.0,1,6088.89,0.0,0,0,0,0.0,21.312,1.0,0.639,0.048,0,0,3,0.091,657.6,614.78,525.89,545.96,35.83645508257082,703.56,960.68,0,81.71,0,NONE,0.0
T007,Kavitha N,2024-04-15,Anna Nagar,0.22,2,2,28,3,4,0,1,1,5555.37,3259.87,1770.5,525.0,0.0,45,7,48.9,3,0.025,4559.84,4611.33,4688.83,1.1111,0.087,0.0,0.8,0.4,7.5,0,0,0,149,0,0,0.031,0,0.649,0,0,,0,0.0498,AUTO_APPROVE,0,0,0.0,1,6917.0,0.0,0,0,0,0.0,63.797,0.4,0.649,0.031,0,0,3,0.05,669.65,650.78,713.47,759.97,832.39,809.43,1119.68,0,90.22,0,NONE,0.0
T007,Kavitha N,2024-04-22,Anna Nagar,0.22,2,2,28,4,4,0,1,0,4784.33,2901.17,1483.16,400.0,0.0,53,6,50.1,4,0.086,4615.96,4661.63,4358.47,0.9569,0.0832,0.0,0.7,0.2,10.8,0,0,0,151,0,0,0.039,0,0.623,0,0,,0,0.0486,AUTO_APPROVE,0,0,0.0,1,6992.44,0.0,0,0,0,0.0,106.042,0.2,0.623,0.039,0,0,4,0.049,650.97,21.881442382027494,662.21,761.57,873.1,754.48,1082.0,0,91.04,0,NONE,0.0
T007,Kavitha N,2024-04-29,Anna Nagar,0.22,2,2,29,5,4,0,1,0,3183.87,2002.58,1181.29,0.0,0.0,13,2,22.3,0,0.095,4383.01,4300.77,3208.54,0.6368,0.1584,0.0,3.8,2.4,7.3,0,0,1,133,0,0,0.048,0,0.628,0,0,,0,0.0357,AUTO_APPROVE,0,0,0.0,1,6451.16,0.0,0,0,0,0.0,0.961,2.4,0.628,0.048,0,0,0,0.036,19.15485506244998,43.34508709252882,1568.77,12.374836827158529,1615.1,8.613478423104315,35.839437021419144,0,87.03,0,NONE,0.0
T007,Kavitha N,2024-05-06,Anna Nagar,0.22,2,2,29,6,5,0,1,0,3171.76,1967.03,1204.73,0.0,0.0,21,1,12.5,0,0.129,4173.83,4059.82,3000.0,0.6344,0.1491,0.0,9.0,4.6,10.8,0,0,1,120,0,0,0.04,0,0.632,0,0,,0,0.0485,AUTO_APPROVE,0,0,0.0,1,6089.73,0.0,0,0,0,0.0,-334.701,4.6,0.632,0.04,0,0,0,0.048,3171.76,7.729988214163663,38.48315962812117,22.487735854289742,41.62054709167656,33.86131444487623,29.416186680318305,0,81.8,0,NONE,0.0
T007,Kavitha N,2024-05-13,Anna Nagar,0.22,2,2,29,7,5,0,1,0,3638.63,2450.37,738.26,450.0,0.0,24,3,12.9,0,0.089,3694.65,3979.09,3027.04,0.7277,0.1664,0.0,6.9,5.1,6.5,0,0,1,125,0,0,0.045,0,0.591,0,0,,0,0.027,AUTO_APPROVE,0,0,0.0,1,5968.64,0.0,0,0,0,0.0,-10.913,5.1,0.591,0.045,0,0,0,0.027,1112.31,42.97227188231063,20.86597492208217,978.81,43.16347746158532,1547.52,-0.01,0,80.82,0,NONE,0.0
T007,Kavitha N,2024-05-20,Anna Nagar,0.22,2,2,29,8,5,0,1,0,3490.86,2214.58,951.28,325.0,0.0,13,1,21.5,0,0.183,3371.28,3893.36,3194.29,0.6982,0.1792,0.0,4.1,1.9,8.5,0,0,1,87,0,0,0.048,0,0.615,0,0,,0,0.0505,AUTO_APPROVE,0,0,0.0,1,5840.04,0.0,0,0,0,0.0,2.494,1.9,0.615,0.048,0,0,0,0.05,10.400051096848276,24.35019767729651,15.796448895687796,3490.86,26.593711156327736,11.480555115663385,38.66118641240173,0,79.54,0,NONE,0.0
T007,Kavitha N,2024-05-27,Anna Nagar,0.22,2,2,30,9,5,0,1,0,4960.67,3061.9,1498.77,400.0,0.0,33,7,46.1,6,0.111,3815.48,4067.59,3848.78,0.9921,0.181,0.0,3.5,2.1,9.7,0,0,0,148,0,0,0.041,0,0.61,0,0,,0,0.1118,AUTO_APPROVE,0,0,0.0,1,6101.38,0.0,0,0,0,0.0,45.959,2.1,0.61,0.041,0,0,6,0.112,691.44,559.96,642.06,603.73,784.22,698.86,980.4,0,83.17,0,NONE,0.0
T007,Kavitha N,2024-06-03,Anna Nagar,0.22,2,2,30,10,6,0,1,0,5019.23,2971.34,1597.89,450.0,0.0,29,5,33.9,3,0.021,4277.35,4213.7,3796.78,1.0038,0.1635,0.0,5.9,3.0,5.0,0,0,0,74,0,0,0.049,0,0.635,0,0,,0,0.0496,AUTO_APPROVE,0,0,0.0,1,6320.55,0.0,0,0,0,0.0,-48.855,3.0,0.635,0.049,0,0,3,0.05,947.52,934.81,862.72,913.62,38.85631397258229,43.20945250893916,1360.56,0,85.47,0,NONE,0.0
