worker_id,worker_name,week_start_date,primary_zone,zone_flood_risk_score,zone_elevation_category,zone_drainage_quality,experience_months,week_number,month,is_northeast_monsoon_season,is_summer_heat_season,festival_week,w_actual,order_earnings,daily_bonus_total,weekly_target_bonus,login_guarantee_received,orders_completed,active_days,total_login_hours,peak_hour_login_days,order_rejection_rate,w_avg_4wk,w_avg_12wk,w_expected,income_vs_peer_ratio,risk_model_score,seasonal_loading_factor,rainfall_mm,max_daily_rainfall_mm,wind_speed_kmph,flood_alert_level,cyclone_warning_active,heatwave_declared,AQI_avg,stfi_event_confirmed,stfi_event_severity,rsmd_news_score,rsmd_news_source_count,google_maps_congestion_index,ndma_emergency_alert_active,rsmd_event_confirmed,rsmd_event_type,rsmd_event_severity,fraud_model_score,fraud_action,gps_spoofing_detected,behavioral_anomaly_flag,fraud_deduction_inr,policy_active,sum_insured,current_claim_loading_pct,claims_last_4wk,daily_zero_income_days,daily_event_active_days,daily_pre_event_rejection_spike,daily_income_trajectory_slope,daily_max_rainfall,daily_max_congestion,daily_max_rsmd_news_score,daily_max_rsmd_source_count,daily_ndma_alert_any_day,daily_peak_hour_days,daily_avg_fraud_score,daily_income_mon,daily_income_tue,daily_income_wed,daily_income_thu,daily_income_fri,daily_income_sat,daily_income_sun,daily_claim_signal_days,weekly_premium_inr,claim_triggered,claim_type,claim_amount_inr
W001,Rajan K,2024-04-01,Velachery,0.82,0,0,24,1,4,0,1,0,4343.73,2779.11,1114.62,450.0,0.0,29,5,25.8,5,0.053,4343.73,4343.73,3920.06,0.9653,0.4795,0.2,2.1,0.6,11.5,0,0,0,85,0,0,0.048,0,0.625,0,0,,0,0.0201,AUTO_APPROVE,0,0,0.0,1,6515.59,0.0,0,0,0,0.0,-119.177,0.6,0.625,0.048,0,0,5,0.02,796.41,776.42,772.96,744.47,1253.47,19.14815832389912,28.76988595894491,0,105.86,0,NONE,0.0
W001,Rajan K,2024-04-08,Velachery,0.82,0,0,24,2,4,0,1,0,4274.61,2355.57,1594.04,325.0,0.0,41,4,35.1,4,0.066,4309.17,4307.35,3959.0,0.9499,0.5412,0.35,11.8,7.2,10.1,0,0,0,139,0,0,0.048,0,0.584,0,0,,0,0.0371,AUTO_APPROVE,0,0,0.0,1,6461.02,0.0,0,0,0,0.0,-79.126,7.2,0.584,0.048,0,0,4,0.037,1091.12,839.45,30.819707694457502,1033.74,33.26733631034689,1310.3,37.89352538028285,0,111.1,0,NONE,0.0
W001,Rajan K,2024-04-15,Velachery,0.82,0,0,24,3,4,0,1,1,5391.29,3211.55,1729.74,450.0,0.0,58,5,45.8,4,0.081,4669.88,4707.33,5162.09,1.1981,0.4485,0.2,12.5,6.7,8.9,0,0,0,98,0,0,0.031,0,0.645,0,0,,0,0.0408,AUTO_APPROVE,0,0,0.0,1,7061.0,0.0,0,0,0,0.0,161.002,6.7,0.645,0.031,0,0,4,0.041,11.390197688719388,914.9,992.33,42.765775390744665,1043.23,1001.36,1439.47,0,113.35,0,NONE,0.0
W001,Rajan K,2024-04-22,Velachery,0.82,0,0,24,4,4,0,1,0,4706.21,2905.91,1400.3,400.0,0.0,60,5,49.0,4,0.029,4678.96,4707.0,4464.28,1.0458,0.4988,0.2,2.9,1.7,5.5,0,0,0,112,0,0,0.039,0,0.629,0,0,,0,0.1029,AUTO_APPROVE,0,0,0.0,1,7060.5,0.0,0,0,0,0.0,40.596,1.7,0.629,0.039,0,0,4,0.103,21.433624577100435,844.71,775.85,840.62,942.06,1302.97,39.41801193505509,0,115.56,0,NONE,0.0
W001,Rajan K,2024-04-29,Velachery,0.82,0,0,25,5,4,0,1,0,4265.74,2436.33,1379.41,450.0,0.0,26,4,51.8,2,0.04,4659.46,4599.25,4304.68,0.9479,0.4777,0.2,0.1,0.0,13.2,0,0,0,150,0,0,0.048,0,0.63,0,0,,0,0.0274,AUTO_APPROVE,0,0,0.0,1,6898.88,0.0,0,0,0,0.0,-42.785,0.0,0.63,0.048,0,0,2,0.027,927.01,828.31,13.819183814711407,886.75,6.1611588881885915,1623.69,-0.02,0,112.01,0,NONE,0.0
W001,Rajan K,2024-05-06,Velachery,0.82,0,0,25,6,5,0,1,0,4711.77,3032.0,1279.77,400.0,0.0,28,4,35.9,2,0.093,4768.75,4623.26,4365.31,1.0471,0.4778,0.2,9.6,4.2,9.7,0,0,0,91,0,0,0.04,0,0.643,0,0,,0,0.0761,AUTO_APPROVE,0,0,0.0,1,6934.89,0.0,0,0,0,0.0,-101.412,4.2,0.643,0.04,0,0,2,0.076,971.5,1030.72,1144.61,27.93376174491403,17.98665116289756,1564.94,44.37848019791797,0,112.6,0,NONE,0.0
W001,Rajan K,2024-05-13,Velachery,0.82,0,0,25,7,5,0,1,0,4192.29,2574.62,1217.67,400.0,0.0,26,7,24.2,2,0.051,4469.0,4540.65,4201.51,0.9316,0.5191,0.35,7.6,4.8,7.5,0,0,0,121,0,0,0.045,0,0.593,0,0,,0,0.0277,AUTO_APPROVE,0,0,0.0,1,6810.98,0.0,0,0,0,0.0,49.658,4.8,0.593,0.045,0,0,2,0.028,545.46,503.81,527.18,491.68,604.43,602.02,917.71,0,116.17,0,NONE,0.0
W001,Rajan K,2024-05-20,Velachery,0.82,0,0,25,8,5,0,1,0,4785.14,3211.87,1248.27,325.0,0.0,59,4,52.2,3,0.108,4488.73,4583.58,4317.45,1.0634,0.471,0.2,4.9,2.2,6.2,0,0,0,115,0,0,0.048,0,0.611,0,0,,0,0.0848,AUTO_APPROVE,0,0,0.0,1,6875.37,0.0,0,0,0,0.0,-177.953,2.2,0.611,0.048,0,0,3,0.085,1135.15,1071.76,1023.06,9.178138188615318,1555.17,6.8921146401408695,6.80071274212533,0,111.34,0,NONE,0.0
W001,Rajan K,2024-05-27,Velachery,0.82,0,0,26,9,5,0,1,0,3949.95,2270.03,1229.92,450.0,0.0,36,4,40.2,3,0.054,4409.79,4480.15,4177.16,0.8778,0.4421,0.2,14.1,7.2,10.2,0,0,0,150,0,0,0.041,0,0.591,0,0,,0,0.1162,AUTO_APPROVE,0,0,0.0,1,6720.22,0.0,0,0,0,0.0,-17.672,7.2,0.591,0.041,0,0,3,0.116,803.67,13.674947808951782,878.25,909.05,28.167644654613536,1358.98,25.222534945787668,0,107.61,0,NONE,0.0
W001,Rajan K,2024-06-03,Velachery,0.82,0,0,26,10,6,0,1,0,3914.43,2320.18,1269.25,325.0,0.0,40,6,34.9,6,0.055,4210.45,4393.29,4064.4,0.8699,0.4672,0.2,27.2,12.6,10.3,0,0,0,75,0,0,0.049,0,0.638,0,0,,0,0.0281,AUTO_APPROVE,0,0,0.0,1,6589.94,0.0,0,0,0,0.0,-26.362,12.6,0.638,0.049,0,0,6,0.028,531.43,589.47,560.07,657.01,614.74,961.71,19.00303219334246,0,106.56,0,NONE,0.0
W001,Rajan K,2024-06-10,Velachery,0.82,0,0,26,11,6,0,1,0,4604.34,2857.2,1347.14,400.0,0.0,39,5,50.6,5,0.104,4313.46,4424.05,4149.28,1.0232,0.479,0.2,16.2,6.6,5.4,0,0,0,87,0,0,0.041,0,0.619,0,0,,0,0.0712,AUTO_APPROVE,0,0,0.0,1,6636.08,0.0,0,0,0,0.0,-20.334,6.6,0.619,0.041,0,0,5,0.071,809.16,801.02,8.55172429667637,791.5,936.58,1266.09,-0.01,0,107.79,0,NONE,0.0
W001,Rajan K,2024-06-17,Velachery,0.82,0,0,26,12,6,0,1,0,3726.39,2435.72,840.67,450.0,0.0,44,5,37.5,2,0.031,4048.78,4326.82,3970.9,0.8281,0.4646,0.2,37.4,14.6,7.6,0,0,0,92,0,0,0.043,0,0.618,0,0,,0,0.073,AUTO_APPROVE,0,0,0.0,1,6490.23,0.0,0,0,0,0.0,64.303,14.6,0.618,0.043,0,0,2,0.073,14.349483791772752,606.15,726.8,620.85,779.93,12.365882591388676,992.66,0,104.84,0,NONE,0.0
W001,Rajan K,2024-06-24,Velachery,0.82,0,0,27,13,6,0,1,0,4760.98,3261.57,1049.41,450.0,0.0,39,6,37.5,4,0.106,4251.54,4386.66,4146.91,1.058,0.4662,0.2,19.2,10.3,13.5,0,0,0,114,0,0,0.044,0,0.596,0,0,,0,0.0781,AUTO_APPROVE,0,0,0.0,1,6579.99,0.0,0,0,0,0.0,97.706,10.3,0.596,0.044,0,0,4,0.078,692.01,34.82667348624194,665.65,757.27,841.24,708.57,1096.24,0,106.36,0,NONE,0.0
W001,Rajan K,2024-07-01,Velachery,0.82,0,0,27,14,7,0,0,0,5094.18,3545.8,1023.38,525.0,0.0,40,7,44.8,4,0.085,4546.47,4489.67,4489.67,1.132,0.6432,0.35,12.8,3.7,7.4,0,0,0,66,0,0,0.039,0,0.613,0,0,,0,0.1049,AUTO_APPROVE,0,0,0.0,1,6734.5,0.0,0,0,0,0.0,73.745,3.7,0.613,0.039,0,0,4,0.105,574.86,568.38,663.66,696.86,707.33,766.75,1116.34,0,120.09,0,NONE,0.0
W001,Rajan K,2024-07-08,Velachery,0.82,0,0,27,15,7,0,0,0,4592.22,2590.25,1551.97,450.0,0.0,34,5,33.0,3,0.118,4543.44,4468.47,4468.47,1.0205,0.6718,0.5,22.0,13.7,9.3,0,0,0,68,0,0,0.045,0,0.608,0,0,,0,0.1064,AUTO_APPROVE,0,0,0.0,1,6702.7,0.0,0,0,0,0.0,4.461,13.7,0.608,0.045,0,0,3,0.106,845.47,693.85,832.39,36.19785532005257,926.14,36.08056052247279,1294.37,0,124.49,0,NONE,0.0
