worker_id,worker_name,week_start_date,primary_zone,zone_flood_risk_score,zone_elevation_category,zone_drainage_quality,experience_months,week_number,month,is_northeast_monsoon_season,is_summer_heat_season,festival_week,w_actual,order_earnings,daily_bonus_total,weekly_target_bonus,login_guarantee_received,orders_completed,active_days,total_login_hours,peak_hour_login_days,order_rejection_rate,w_avg_4wk,w_avg_12wk,w_expected,income_vs_peer_ratio,risk_model_score,seasonal_loading_factor,rainfall_mm,max_daily_rainfall_mm,wind_speed_kmph,flood_alert_level,cyclone_warning_active,heatwave_declared,AQI_avg,stfi_event_confirmed,stfi_event_severity,rsmd_news_score,rsmd_news_source_count,google_maps_congestion_index,ndma_emergency_alert_active,rsmd_event_confirmed,rsmd_event_type,rsmd_event_severity,fraud_model_score,fraud_action,gps_spoofing_detected,behavioral_anomaly_flag,fraud_deduction_inr,policy_active,sum_insured,current_claim_loading_pct,claims_last_4wk,daily_zero_income_days,daily_event_active_days,daily_pre_event_rejection_spike,daily_income_trajectory_slope,daily_max_rainfall,daily_max_congestion,daily_max_rsmd_news_score,daily_max_rsmd_source_count,daily_ndma_alert_any_day,daily_peak_hour_days,daily_avg_fraud_score,daily_income_mon,daily_income_tue,daily_income_wed,daily_income_thu,daily_income_fri,daily_income_sat,daily_income_sun,daily_claim_signal_days,weekly_premium_inr,claim_triggered,claim_type,claim_amount_inr
T004,Hari V,2024-07-01,Sholinganallur,0.55,1,1,25,1,7,0,0,0,4025.5,2463.99,1236.51,325.0,0.0,30,5,31.9,2,0.065,4025.5,4025.5,4025.5,0.8946,0.3948,0.2,19.9,11.0,9.3,0,0,0,82,0,0,0.048,0,0.631,0,0,,0,0.0981,AUTO_APPROVE,0,0,0.0,1,6038.25,0.0,0,0,0,0.0,-109.253,11.0,0.631,0.048,0,0,2,0.098,701.75,724.59,742.79,645.76,1210.62,13.768559494321773,-0.01,0,94.91,0,NONE,0.0
T004,Hari V,2024-07-08,Sholinganallur,0.55,1,1,25,2,7,0,0,0,4682.46,3214.2,1143.26,325.0,0.0,46,6,50.6,2,0.035,4353.98,4371.27,4371.27,1.0405,0.458,0.2,11.2,5.6,14.6,0,0,0,98,0,0,0.048,0,0.64,0,0,,0,0.0328,AUTO_APPROVE,0,0,0.0,1,6556.91,0.0,0,0,0,0.0,67.77,5.6,0.64,0.048,0,0,2,0.033,646.5,680.1,44.03461023276525,807.13,807.0,790.9,950.83,0,105.65,0,NONE,0.0
T004,Hari V,2024-07-15,Sholinganallur,0.55,1,1,25,3,7,0,0,0,1127.69,758.23,369.46,0.0,0.0,17,3,9.6,2,0.194,3278.55,3174.38,3600.0,0.2506,0.6354,0.35,177.2,104.8,21.7,4,0,0,85,1,3,0.031,0,0.646,1,0,,0,0.0371,AUTO_APPROVE,0,0,0.0,1,4761.57,0.0,0,4,6,0.1429,30.417,104.8,0.646,0.031,0,1,2,0.037,349.44,0.0,0.0,0.0,0.0,434.76,343.49,4,84.68,1,STFI,1854.23
T004,Hari V,2024-07-22,Sholinganallur,0.55,1,1,25,4,7,0,0,0,4710.8,3214.08,1046.72,450.0,0.0,46,6,55.0,6,0.051,3636.61,3621.14,3621.14,1.0468,0.4797,0.2,12.1,3.4,9.4,0,0,0,53,0,0,0.039,0,0.578,0,0,,0,0.1199,AUTO_APPROVE,0,0,0.0,1,5431.71,0.05,1,0,0,0.0,4.685,3.4,0.578,0.039,0,0,6,0.12,707.03,644.03,681.23,674.95,913.04,18.475831670844272,1090.52,0,92.67,0,NONE,0.0
T004,Hari V,2024-07-29,Sholinganallur,0.55,1,1,26,5,7,0,0,0,4268.88,2770.07,1173.81,325.0,0.0,30,7,28.2,4,0.109,3697.46,3779.31,3779.31,0.9486,0.4168,0.2,12.8,4.2,9.7,0,0,0,109,0,0,0.048,0,0.584,0,0,,0,0.0871,AUTO_APPROVE,0,0,0.0,1,5668.96,0.05,1,0,0,0.0,41.585,4.2,0.584,0.048,0,0,4,0.087,546.93,493.72,591.22,563.73,622.47,591.08,859.73,0,94.38,0,NONE,0.0
T004,Hari V,2024-08-05,Sholinganallur,0.55,1,1,26,6,8,0,0,0,3837.88,2342.77,1045.11,450.0,0.0,43,4,35.2,2,0.027,3486.31,3791.81,3791.81,0.8529,0.4747,0.2,17.8,6.4,5.0,0,0,0,79,0,0,0.04,0,0.542,0,0,,0,0.1079,AUTO_APPROVE,0,0,0.0,1,5687.72,0.05,1,0,0,0.0,-20.531,6.4,0.542,0.04,0,0,2,0.108,861.05,12.284716627547972,764.38,879.15,36.58794028569916,1333.3,31.348311020035045,0,96.85,0,NONE,0.0
T004,Hari V,2024-08-12,Sholinganallur,0.55,1,1,26,7,8,0,0,0,782.35,487.57,294.78,0.0,0.0,18,1,23.5,0,0.199,3399.98,3214.96,3600.0,0.1739,0.6018,0.35,137.0,45.0,29.5,4,0,0,47,1,4,0.045,0,0.588,0,0,,0,0.0782,AUTO_APPROVE,0,0,0.0,1,4822.44,0.05,0,6,6,0.1429,-83.823,45.0,0.588,0.045,0,0,0,0.078,782.35,0.0,0.0,0.0,0.0,0.0,0.0,6,88.99,1,STFI,2113.24
T004,Hari V,2024-08-19,Sholinganallur,0.55,1,1,26,8,8,0,0,0,4684.18,3162.37,1196.81,325.0,0.0,57,4,34.9,4,0.067,3393.32,3472.93,3600.0,1.0409,0.4886,0.2,13.4,6.2,10.4,0,0,0,118,0,0,0.048,0,0.611,0,0,,0,0.1147,AUTO_APPROVE,0,0,0.0,1,5209.39,0.12,1,0,0,0.0,199.828,6.2,0.611,0.048,0,0,4,0.115,24.92782865812556,27.21454203750525,1024.32,1022.41,33.768071130890554,1197.4,1440.05,0,95.12,0,NONE,0.0
T004,Hari V,2024-08-26,Sholinganallur,0.55,1,1,27,9,8,0,0,0,5022.59,3032.25,1540.34,450.0,0.0,38,7,36.8,2,0.07,3581.75,3725.9,3725.9,1.1161,0.4405,0.2,15.7,6.7,10.9,0,0,0,72,0,0,0.041,0,0.599,0,0,,0,0.1161,AUTO_APPROVE,0,0,0.0,1,5588.85,0.12,1,0,0,0.0,42.133,6.7,0.599,0.041,0,0,2,0.116,664.79,607.4,691.8,640.14,715.73,743.23,959.5,0,100.17,0,NONE,0.0
T004,Hari V,2024-09-02,Sholinganallur,0.55,1,1,27,10,9,0,0,0,3976.33,2449.88,1076.45,450.0,0.0,26,5,45.4,4,0.117,3616.36,3764.35,3764.35,0.8836,0.44,0.2,5.3,2.2,14.3,0,0,0,116,0,0,0.049,0,0.629,0,0,,0,0.0854,AUTO_APPROVE,0,0,0.0,1,5646.52,0.12,1,0,0,0.0,14.61,2.2,0.629,0.049,0,0,4,0.085,719.39,697.83,14.138189653251949,738.9,786.64,44.853356642269674,1033.57,0,101.19,0,NONE,0.0
